iata,name,city
OTC,Bol Airport,Bol
MVO,Mongo Airport,Mongo
AMC,Am Timan Airport,Am Timan
PLF,Pala Airport,Pala
OUT,Bousso Airport,Bousso
AMO,Mao Airport,Mao
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo
CHJ,Chipinge Airport,Chipinge
BFO,Buffalo Range Airport,Chiredzi
VFA,Victoria Falls International Airport,Victoria Falls
HRE,Harare International Airport,Harare
KAB,Kariba International Airport,Kariba
MVZ,Masvingo International Airport,Masvingo
GWE,Thornhill Air Base,Gweru
HWN,Hwange National Park Airport,Hwange
WKI,Hwange Airport,Hwange
BLZ,Chileka International Airport,Blantyre
CMK,Club Makokola Airport,Club Makokola
DWA,Dwangwa Airport,Dwangwa
KGJ,Karonga Airport,Karonga
KBQ,Kasungu Airport,Kasungu
LLW,Lilongwe International Airport,Lilongwe
LIX,Likoma Island Airport,Likoma Island
MAI,Mangochi Airport,Mangochi
MYZ,Monkey Bay Airport,Monkey Bay
LMB,Salima Airport,Salima
ZZU,Mzuzu Airport,Mzuzu
LEF,Lebakeng Airport,Lebakeng
LRB,Leribe Airport,Leribe
LES,Lesobeng Airport,Lesobeng
MSG,Matsaile Airport,Matsaile
MFC,Mafeteng Airport,Mafeteng
MKH,Mokhotlong Airport,Mokhotlong
MSU,Moshoeshoe I International Airport,Maseru
NKU,Nkaus Airport,Nkaus
PEL,Pelaneng Airport,Pelaneng
UTG,Quthing Airport,Quthing
UNE,Qacha's Nek Airport,Qacha's Nek
SHK,Sehonghong Airport,Sehonghong
SKQ,Sekakes Airport,Sekakes
SOK,Semonkong Airport,Semonkong
SHZ,Seshutes Airport,Seshutes
THB,Thaba-Tseka Airport,Thaba-Tseka
TKO,Tlokoeng Airport,Tlokoeng
ADI,Arandis Airport,Arandis
GOG,Gobabis Airport,Gobabis
GFY,Grootfontein Airport,Grootfontein
MPA,Katima Mulilo Airport,Mpacha
KMP,Keetmanshoop Airport,Keetmanshoop
LHU,Lianshulu Airport,Muneambuanas
LUD,Luderitz Airport,Luderitz
OKU,Mokuti Lodge Airport,Mokuti Lodge
NNI,Namutoni Airport,Namutoni
OND,Ondangwa Airport,Ondangwa
OMG,Omega Airport,Omega
OMD,Oranjemund Airport,Oranjemund
OKF,Okaukuejo Airport,Okaukuejo
OTJ,Otjiwarongo Airport,Otjiwarongo
NDU,Rundu Airport,Rundu
RHN,Skorpion Mine Airport,Rosh Pinah
SWP,Swakopmund Airport,Swakopmund
TSB,Tsumeb Airport,Tsumeb
WVB,Walvis Bay Airport,Walvis Bay
ERS,Eros Airport,Windhoek
WDH,Hosea Kutako International Airport,Windhoek
FIH,Ndjili International Airport,Kinshasa
BOA,Boma Airport,Boma
LZI,Luozi Airport,Luozi
MAT,Tshimpi Airport,Matadi
NKL,Nkolo Fuma Airport,Nkolo Fuma
INO,Inongo Airport,Inongo
NIO,Nioki Airport,Nioki
KRZ,Basango Mboliasa Airport,Kiri
IDF,Idiofa Airport,Idiofa
LUS,Lusanga Airport,Lusanga
MSM,Masi Manimba Airport,Masi Manimba
MDK,Mbandaka Airport,Mbandaka
BSU,Basankusu Airport,Basankusu
LIE,Libenge Airport,Libenge
GMA,Gemena Airport,Gemena
BMB,Bumbar Airport,Bumbar
BNB,Boende Airport,Boende
IKL,Ikela Airport,Ikela
FKI,Bangoka International Airport,Kisangani
YAN,Yangambi Airport,Yangambi
RUE,Rughenda Airfield,Butembo
GOM,Goma International Airport,Goma
BNC,Beni Airport,Beni
KND,Kindu Airport,Kindu
KLY,Kinkungwa Airport,Kalima
KGN,Kasongo Airport,Kasongo
PUN,Punia Airport,Punia
FBM,Lubumbashi International Airport,Lubumbashi
PWO,Pweto Airport,Pweto
KEC,Kasenga Airport,Kasenga
MNO,Manono Airport,Manono
BDV,Moba Airport,Moba
KBO,Kabalo Airport,Kabalo
KOO,Kongolo Airport,Kongolo
KMN,Kamina / Ville Airport,Kamina
KAP,Kapanga Airport,Kapanga
KNM,Kaniama Airport,Kaniama
KGA,Kananga Airport,Kananga
LZA,Luiza Airport,Luiza
TSH,Tshikapa Airport,Tshikapa
LJA,Lodja Airport,Lodja
LBO,Lusambo Airport,Lusambo
MEW,Mweka Airport,Mweka
BAN,Basongo Airport,Basongo
PFR,Ilebo Airport,Ilebo
MJM,Mbuji Mayi Airport,Mbuji Mayi
GDJ,Gandajika Airport,Gandajika
KBN,Tunta Airport,Kabinda
BKO,Senou Airport,Senou
GUD,Goundam Airport,Goundam
KNZ,Kenieba Airport,Kenieba
KTX,Koutiala Airport,Koutiala
NRM,Nara Airport,Nara
NIX,Nioro du Sahel Airport,Nioro du Sahel
KSS,Sikasso Airport,Sikasso
TOM,Timbuktu Airport,Timbuktu
EYL,Yelimane Airport,Yelimane
BJL,Banjul International Airport,Banjul
FUE,Fuerteventura Airport,Fuerteventura Island
GMZ,La Gomera Airport,Alajero
VDE,Hierro Airport,El Hierro Island
SPC,La Palma Airport,Sta Cruz de la Palma
LPA,Gran Canaria Airport,Gran Canaria Island
ACE,Lanzarote Airport,Lanzarote Island
TFS,Tenerife South Airport,Tenerife Island
TFN,Tenerife Norte Airport,Tenerife Island
MLN,Melilla Airport,Melilla Island
BTE,Sherbro International Airport,Bonthe
KBS,Bo Airport,Bo
GBK,Gbangbatok Airport,Gbangbatok
HGS,Hastings Airport,Freetown
KBA,Kabala Airport,Kabala
KEN,Kenema Airport,Kenema
FNA,Lungi International Airport,Freetown
WYE,Yengema Airport,Yengema
BQE,Bubaque Airport,Bubaque
OXB,Osvaldo Vieira International Airport,Bissau
UCN,Buchanan Airport,Buchanan
CPA,Cape Palmas Airport,Harper
SNI,Greenville Sinoe Airport,Greenville
MLW,Spriggs Payne Airport,Monrovia
NIA,Nimba Airport,Nimba
ROB,Roberts International Airport,Monrovia
SAZ,Sasstown Airport,Sasstown
THC,Tchien Airport,Tchien
VOI,Voinjama Airport,Voinjama
AGA,Al Massira Airport,Agadir
TTA,Tan Tan Airport,Tan Tan
OZG,Zagora Airport,Zagora
UAR,Bouarfa Airport,Bouarfa
FEZ,Saiss Airport,Fes
ERH,Moulay Ali Cherif Airport,Errachidia
MEK,Bassatine Airport,Meknes
OUD,Angads Airport,Oujda
SMW,Smara Airport,Smara
GMD,Ben Slimane Airport,Ben Slimane
RBA,Rabat-Sale Airport,Rabat
SII,Sidi Ifni Xx Airport,Sidi Ifni
VIL,Dakhla Airport,Dakhla
ESU,Mogador Airport,Essaouira
EUN,Hassan I Airport,El Aaiun
CMN,Mohammed V International Airport,Casablanca
NDR,Nador International Airport,Nador
RAK,Menara Airport,Marrakech
OZZ,Ouarzazate Airport,Ouarzazate
AHU,Cherif Al Idrissi Airport,Al Hoceima
TNG,Ibn Batouta Airport,Tangier
DSS,Blaise Diagne International Airport,Diass
KDA,Kolda North Airport,Kolda
ZIG,Ziguinchor Airport,Ziguinchor
CSK,Cap Skirring Airport,Cap Skirring
KLC,Kaolack Airport,Kaolack
DKR,Leopold Sedar Senghor International Airport,Dakar
MAX,Ouro Sogui Airport,Matam
POD,Podor Airport,Podor
RDT,Richard Toll Airport,Richard Toll
XLS,Saint Louis Airport,Saint Louis
BXE,Bakel Airport,Bakel
KGG,Kedougou Airport,Kedougou
SMY,Simenti Airport,Simenti
TUD,Tambacounda Airport,Tambacounda
AEO,Aioun el Atrouss Airport,Aioun El Atrouss
OTL,Boutilimit Airport,Boutilimit
THI,Tichitt Airport,Tichitt
TIY,Tidjikja Airport,Tidjikja
BGH,Abbaye Airport,Boghe
KFA,Kiffa Airport,Kiffa
TMD,Timbedra Airport,Timbedra
EMN,Nema Airport,Nema
AJJ,Akjoujt Airport,Akjoujt
KED,Kaedi Airport,Kaedi
MOM,Letfotar Airport,Moudjeria
NKC,Nouakchott International Airport,Nouakchott
SEY,Selibaby Airport,Selibaby
THT,Tamchakett Airport,Tamchakett
ATR,Atar International Airport,Atar
FGD,Fderik Airport,Fderik
NDB,Nouadhibou International Airport,Nouadhibou
OUZ,Tazadit Airport,Zouerate
CKY,Conakry Airport,Conakry
KSI,Kissidougou Airport,Kissidougou
MCA,Macenta Airport,Macenta
NZE,Nzerekore Airport,Nzerekore
BKJ,Boke Airport,Boke
SBI,Sambailo Airport,Koundara
GII,Siguiri Airport,Siguiri
KNN,Kankan Airport,Kankan
SID,Amilcar Cabral International Airport,Espargos
NTO,Agostinho Neto Airport,Ponta do Sol
BVC,Rabil Airport,Rabil
BVR,Esperadinha Airport,Brava Island
MMO,Maio Airport,Vila do Maio
MTI,Mosteiros Airport,Vila do Mosteiros
RAI,Praia International Airport,Praia
SFL,Sao Filipe Airport,Sao Filipe
SNE,Preguica Airport,Preguica
VXE,Sao Pedro Airport,Sao Pedro
ADD,Bole International Airport,Addis Ababa
BCO,Baco Airport,Baco
BJR,Bahir Dar Airport,Bahir Dar
BEI,Beica Airport,Beica
DSE,Combolcha Airport,Dessie
DEM,Dembidollo Airport,Dembidollo
DBM,Debra Marcos Airport,Debra Marcos
DIR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa
DBT,Debre Tabor Airport,Debre Tabor
FNH,Fincha Airport,Fincha
GOB,Robe Airport,Goba
GNN,Ghinnir Airport,Ghinnir
GMB,Gambella Airport,Gambela
GDQ,Gonder Airport,Gondar
GDE,Gode Airport,Gode
GOR,Gore Airport,Gore
HUE,Humera Airport,Humera
JIJ,Jigjiga Garad Wilwal Airport,Jijiga
JIM,Jimma Airport,Jimma
ABK,Kabri Dehar Airport,Kabri Dehar
LFO,Kelafo East Airport,Kelafo
AWA,Awassa Airport,Awassa
LLI,Lalibella Airport,Lalibela
TUJ,Tume Airport,Maji
MZX,Masslo Airport,Masslo
ETE,Metema Airport,Metema
NDM,Mendi Airport,Mendi
MTF,Mizan Teferi Airport,Mizan Teferi
NEJ,Nejjo Airport,Nejjo
NEK,Nekemte Airport,Nekemte
SXU,Soddu Airport,Soddu
ASO,Asosa Airport,Asosa
SHC,Shire Airport,Shire
TIE,Tippi Airport,Tippi
WAC,Waca Airport,Waca
BJM,Bujumbura International Airport,Bujumbura
GID,Gitega Airport,Gitega
KRE,Kirundo Airport,Kirundo
ALU,Alula Airport,Alula
BIB,Baidoa Airport,Baidoa
CXN,Candala Airport,Candala
HCM,Eil Airport,Eil
BSA,Bosaso Airport,Bosaso
GSR,Gardo Airport,Gardo
HGA,Egal International Airport,Hargeisa
BBO,Berbera Airport,Berbera
MGQ,Aden Adde International Airport,Mogadishu
CMO,Obbia Airport,Obbia
GLK,Galcaio Airport,Galcaio
CMS,Scusciuban Airport,Scusciuban
ERA,Erigavo Airport,Erigavo
BUO,Burao Airport,Burao
GGR,Garowe Airport,Garowe
JIB,Djibouti-Ambouli Airport,Djibouti City
AII,Ali-Sabieh Airport,Ali-Sabieh
MHI,Moucha Airport,Moucha Island
OBC,Obock Airport,Obock
TDJ,Tadjoura Airport,Tadjoura
SEW,Siwa Oasis North Airport,Siwa
DBB,El Alamein International Airport,El Alamein
AAC,El Arish International Airport,El Arish
ATZ,Assiut International Airport,Assiut
ALY,El Nouzha Airport,Alexandria
HBE,Borg El Arab International Airport,Alexandria
ABS,Abu Simbel Airport,Abu Simbel
CAI,Cairo International Airport,Cairo
CCE,Capital International Airport,New Administrative Capital
HRG,Hurghada International Airport,Hurghada
LXR,Luxor International Airport,Luxor
RMF,Marsa Alam International Airport,Marsa Alam
HMB,Sohag International Airport,Sohag
MUH,Mersa Matruh Airport,Mersa Matruh
PSD,Port Said Airport,Port Said
SSH,Sharm El Sheikh International Airport,Sharm el-Sheikh
ASW,Aswan International Airport,Aswan
SPX,Sphinx International Airport,Giza
TCP,Taba International Airport,Taba
ASM,Asmara International Airport,Asmara
MSW,Massawa International Airport,Massawa
ASA,Assab International Airport,Assab
TES,Teseney Airport,Teseney
HPV,Princeville Airport,Hanalei
ASV,Amboseli Airport,Amboseli National Park
EDL,Eldoret International Airport,Eldoret
EYS,Eliye Springs Airport,Eliye Springs
KLK,Kalokol Airport,Kalokol
GAS,Garissa Airport,Garissa
HOA,Hola Airport,Hola
NBO,Jomo Kenyatta International Airport,Nairobi
KEU,Keekorok Airport,Keekorok
GGM,Kakamega Airport,Kakamega
KIS,Kisumu Airport,Kisumu
ILU,Kilaguni Airport,Kilaguni
KEY,Kericho Airport,Kericho
KTL,Kitale Airport,Kitale
LKG,Lokichoggio Airport,Lokichoggio
LOK,Lodwar Airport,Lodwar
LAU,Manda Airstrip,Lamu
LOY,Loyengalani Airport,Loyengalani
NDE,Mandera Airport,Mandera
RBT,Segel Airport,Marsabit
JJM,Mulika Lodge Airport,Meru-Kinna
MYD,Malindi Airport,Malindi
MBA,Mombasa Moi International Airport,Mombasa
MRE,Mara Serena Lodge Airstrip,Masai Mara
OYL,Moyale Airport,Moyale (Lower)
NYE,Nyeri Airport,Nyeri
NUU,Nakuru Airport,Nakuru
WIL,Nairobi Wilson Airport,Nairobi
NYK,Nanyuki Airport,Nanyuki
UAS,Samburu South Airport,Samburu South
UKA,Ukunda Airstrip,Ukunda
WJR,Wajir Airport,Wajir
SRX,Gardabya Airport,Sirt
TOB,Gamal Abdel Nasser Airport,Tobruk
GHT,Ghat Airport,Ghat
AKF,Kufra Airport,Kufra
BEN,Benina International Airport,Benghazi
MJI,Mitiga Airport,Tripoli
LAQ,La Abraq Airport,Al Bayda'
SEB,Sabha Airport,Sabha
TIP,Tripoli International Airport,Tripoli
NFR,Nafurah 1 Airport,Nafurah 1
LTD,Ghadames East Airport,Ghadames
WAX,Zwara Airport,Zuwara
GYI,Gisenyi Airport,Gisenyi
BTQ,Butare Airport,Butare
KGL,Kigali International Airport,Kigali
RHG,Ruhengeri Airport,Ruhengeri
KME,Kamembe Airport,Kamembe
ATB,Atbara Airport,Atbara
EDB,El Debba Airport,El Debba
DOG,Dongola Airport,Dongola
RSS,Damazin Airport,Ad Damazin
ELF,El Fasher Airport,El Fasher
GSU,Azaza Airport,Gedaref
DNX,Galegu Airport,Dinder
EGN,Geneina Airport,Geneina
KSL,Kassala Airport,Kassala
GBU,Khashm El Girba Airport,Khashm El Girba
KST,Kosti Airport,Kosti
KDX,Kadugli Airport,Kadugli
RBX,Rumbek Airport,Rumbek
MWE,Merowe Airport,Merowe
NUD,En Nahud Airport,En Nahud
UYL,Nyala Airport,Nyala
NHF,New Halfa Airport,New Halfa
EBD,El Obeid Airport,Al-Ubayyid
PZU,Port Sudan New International Airport,Port Sudan
JUB,Juba Airport,Juba
KRT,Khartoum International Airport,Khartoum
MAK,Malakal Airport,Malakal
WHF,Wadi Halfa Airport,Wadi Halfa
WUU,Wau Airport,Wau
ZLX,Zalingei Airport,Zalingei
ARK,Arusha Airport,Arusha
BKZ,Bukoba Airport,Bukoba
DAR,Mwalimu Julius K. Nyerere International Airport,Dar es Salaam
DOD,Dodoma Airport,Dodoma
IRI,Iringa Airport,Nduli
TKQ,Kigoma Airport,Kigoma
KIY,Kilwa Masoko Airport,Kilwa Masoko
JRO,Kilimanjaro International Airport,Arusha
LDI,Kikwetu Airport,Lindi
LKY,Lake Manyara Airport,Lake Manyara National Park
MFA,Mafia Island Airport,Mafia Island
MBI,Mbeya Airport,Mbeya
MWN,Mwadui Airport,Mwadui
XMI,Masasi Airport,Masasi
MYW,Mtwara Airport,Mtwara
MUZ,Musoma Airport,Musoma
MWZ,Mwanza Airport,Mwanza
NCH,Nachingwea Airport,Nachingwea
JOM,Njombe Airport,Njombe
PMA,Pemba Airport,Chake
SEU,Seronera Airport,Seronera
SGX,Songea Airport,Songea
SUT,Sumbawanga Airport,Sumbawanga
SHY,Shinyanga Airport,Shinyanga
TBO,Tabora Airport,Tabora
TGT,Tanga Airport,Tanga
ZNZ,Zanzibar Airport,Kiembi Samaki
RUA,Arua Airport,Arua
EBB,Entebbe International Airport,Kampala
ULU,Gulu Airport,Gulu
JIN,Jinja Airport,Jinja
KBG,Kabalega Falls Airport,Kabalega Falls
KSE,Kasese Airport,Kasese
MBQ,Mbarara Airport,Mbarara
KCU,Masindi Airport,Masindi
SRT,Soroti Airport,Soroti
TRY,Tororo Airport,Tororo
AMK,Animas Air Park,Durango
BDX,Broadus Airport,Broadus
EUE,Eureka Airport,Eureka
KPT,Jackpot/Hayden Field,Jackpot
PQS,Pilot Station Airport,Pilot Station
FID,Elizabeth Field,Fishers Island
RTL,Spirit Lake Municipal Airport,Spirit Lake
HUD,Humboldt Municipal Airport,Humboldt
TWD,Jefferson County International Airport,Port Townsend
MVM,Kayenta Airport,Kayenta
HCC,Columbia County Airport,Hudson
AHD,Ardmore Downtown Executive Airport,Ardmore
GCW,Grand Canyon West Airport,Peach Springs
KKK,Kalakaket Creek Air Station,Kalakaket Creek
CKE,Lampson Field,Lakeport
ROF,Montague-Yreka Rohrer Field,Montague
MHS,Dunsmuir Municipal-Mott Airport,Dunsmuir
PLY,Plymouth Municipal Airport,Plymouth
MIJ,Mili Airport,Mili Island
PGC,Grant County Airport,Hyannis
CNE,Fremont County Airport,Canon City
GCT,Grand Canyon Bar Ten Airstrip,Whitmore
LVD,Lime Village Airport,Lime Village
NWH,Parlin Field,Newport
IRB,Iraan Municipal Airport,Iraan
ODM,Garrett County Airport,Oakland
TLF,Telida Airport,Telida
GNF,Gansner Field,Quincy
CHZ,Chiloquin State Airport,Chiloquin
LTW,St Mary's County Regional Airport,Leonardtown
USC,"Union County, Troy Shelton Field",Union
AHF,Arapahoe Municipal Airport,Arapahoe
PCT,Princeton Airport,Princeton/Rocky Hill
NRI,Grand Lake Regional Airport,Afton
GTP,Grants Pass Airport,Grants Pass
TEH,Tetlin Airport,Tetlin
NLE,Jerry Tyler Memorial Airport,Niles
VRS,Roy Otten Memorial Airfield,Versailles
GCD,Grand Coulee Dam Airport,Electric City
VLE,Valle Airport,Grand Canyon
NTJ,Manti-Ephraim Airport,Manti
SBO,Salina-Gunnison Airport,Salina
JVI,Central Jersey Regional Airport,Manville
ATT,Atmautluak Airport,Atmautluak
LIV,Livengood Camp Airport,Livengood
PDB,Pedro Bay Airport,Pedro Bay
KOZ,Ouzinkie Airport,Ouzinkie
UCE,Eunice Airport,Eunice
GOL,Gold Beach Municipal Airport,Gold Beach
RNG,Rangely Airport,Rangely
KKT,Kentland Municipal Airport,Kentland
MNT,Minto Al Wright Airport,Minto
WKK,Aleknagik /New Airport,Aleknagik
PRW,Prentice Airport,Prentice
NNK,Naknek Airport,Naknek
EGP,Maverick County Memorial International Airport,Eagle Pass
MFH,Mesquite Airport,Mesquite
MMN,Minute Man Air Field,Stow
ECA,Iosco County Airport,East Tawas
NYS,New York Skyports Inc Seaplane Base,New York
OLH,Old Harbor Airport,Old Harbor
FMU,Florence Municipal Airport,Florence
OTS,Anacortes Airport,Anacortes
ROL,Roosevelt Municipal Airport,Roosevelt
WPO,North Fork Valley Airport,Paonia
ATE,Antlers Municipal Airport,Antlers
UGS,Ugashik Airport,Ugashik
WTL,Tuntutuliak Airport,Tuntutuliak
TWA,Twin Hills Airport,Twin Hills
KCQ,Chignik Lake Airport,Chignik Lake
AAF,Apalachicola Regional-Cleve Randolph Field,Apalachicola
ABE,Lehigh Valley International Airport,Allentown
ABI,Abilene Regional Airport,Abilene
ABQ,Albuquerque International Sunport Airport,Albuquerque
ABR,Aberdeen Regional Airport,Aberdeen
ABY,Southwest Georgia Regional Airport,Albany
ACB,Antrim County Airport,Bellaire
ACK,Nantucket Memorial Airport,Nantucket
ACT,Waco Regional Airport,Waco
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka
ACY,Atlantic City International Airport,Atlantic City
ADG,Lenawee County Airport,Adrian
ADT,Ada Regional Airport,Ada
ADM,Ardmore Municipal Airport,Ardmore
ADS,Addison Airport,Dallas
ADW,Joint Base Andrews Airport,Camp Springs
AEL,Albert Lea Municipal Airport,Albert Lea
AEX,Alexandria International Airport,Alexandria
AFF,Davis Field (Usaf Academy Field) Airport,Colorado Springs
WSG,Washington County Airport,Washington
AFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey
AFO,Afton Municipal Airport,Afton
AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth
AGC,Allegheny County Airport,Pittsburgh
AGO,Ralph C Weiser Field,Magnolia
AGS,Augusta Regional At Bush Field,Augusta
AHC,Amedee Army Air Field,Herlong
AHH,Amery Municipal Airport,Amery
AHN,Athens/Ben Epps Airport,Athens
AIA,Alliance Municipal Airport,Alliance
AID,Anderson Municipal-Darlington Field,Anderson
AIK,Aiken Regional Airport,Aiken
AIO,Atlantic Municipal Airport,Atlantic
AIV,George Downer Airport,Aliceville
AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark
AKO,Colorado Plains Regional Airport,Akron
AKC,Akron Fulton International Airport,Akron
ALB,Albany International Airport,Albany
ALI,Alice International Airport,Alice
ALM,Alamogordo-White Sands Regional Airport,Alamogordo
ALN,St Louis Regional Airport,Alton/St Louis
ALO,Waterloo Regional Airport,Waterloo
ALS,San Luis Valley Regional/Bergman Field,Alamosa
ALW,Walla Walla Regional Airport,Walla Walla
ALX,Thomas C Russell Field,Alexander City
AMA,Rick Husband Amarillo International Airport,Amarillo
AMN,Gratiot Community Airport,Alma
AMW,Ames Municipal Airport,Ames
ANB,Anniston Regional Airport,Anniston
AND,Anderson Regional Airport,Anderson
SLT,Salida/Harriett Alexander Field,Salida
ANP,Lee Airport,Annapolis
ANQ,Tri-State Steuben County Airport,Angola
ANW,Ainsworth Regional Airport,Ainsworth
ANY,Anthony Municipal Airport,Anthony
AOH,Lima Allen County Airport,Lima
AOO,Altoona/Blair County Airport,Altoona
APA,Centennial Airport,Denver
APC,Napa County Airport,Napa
APF,Naples Municipal Airport,Naples
APG,Phillips Army Air Field,Aberdeen Proving Grounds (Aberdeen)
APH,Mary Walker Lz Airport,Bowling Green
APN,Alpena County Regional Airport,Alpena
APT,Marion County/Brown Field,Jasper
APV,Apple Valley Airport,Apple Valley
AQY,Girdwood Airport,Girdwood
ARA,Acadiana Regional Airport,New Iberia
ARB,Ann Arbor Municipal Airport,Ann Arbor
ARG,Walnut Ridge Regional Airport,Walnut Ridge
WHT,Wharton Regional Airport,Wharton
AUZ,Aurora Municipal Airport,Chicago/Aurora
ART,Watertown International Airport,Watertown
ARV,Lakeland/Noble F Lee Memorial Field,Minocqua-Woodruff
BFT,Beaufort Executive Airport,Beaufort
ASE,Aspen-Pitkin County/Sardy Field,Aspen
SPZ,Springdale Municipal Airport,Springdale
ASH,Boire Field,Nashua
ASL,Harrison County Airport,Marshall
ASN,Talladega Municipal Airport,Talladega
AST,Astoria Regional Airport,Astoria
ASX,John F Kennedy Memorial Airport,Ashland
ASY,Ashley Municipal Airport,Ashley
ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta
ATS,Artesia Municipal Airport,Artesia
ATW,Appleton International Airport,Appleton
ATY,Watertown Regional Airport,Watertown
AUG,Augusta State Airport,Augusta
AUM,Austin Municipal Airport,Austin
AUN,Auburn Municipal Airport,Auburn
AUO,Auburn University Regional Airport,Auburn
AUS,Austin-Bergstrom International Airport,Austin
AUW,Wausau Downtown Airport,Wausau
AVL,Asheville Regional Airport,Asheville
AVO,Avon Park Executive Airport,Avon Park
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton
AVW,Marana Regional Airport,Marana
AVX,Catalina Airport,Avalon
AWM,West Memphis Municipal Airport,West Memphis
AXG,Algona Municipal Airport,Algona
AXN,Chandler Field,Alexandria
AXS,Altus/Quartz Mountain Regional Airport,Altus
AXV,Neil Armstrong Airport,Wapakoneta
AXX,Angel Fire Airport,Angel Fire
AYS,Waycross-Ware County Airport,Waycross
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo
BAB,Beale Afb Airport,Marysville
BAD,Barksdale Afb Airport,Bossier City
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield
CLU,Columbus Municipal Airport,Columbus
BAM,Battle Mountain Airport,Battle Mountain
BBB,Benson Municipal Airport,Benson
BBD,Curtis Field,Brady
BKG,Branson Airport,Branson
BTN,Marlboro County Jetport - H E Avent Field,Bennettsville
BBW,Broken Bow Municipal/Keith Glaze Field,Broken Bow
BCB,Virginia Tech/Montgomery Executive Airport,Blacksburg
BCE,Bryce Canyon Airport,Bryce Canyon
BCT,Boca Raton Airport,Boca Raton
BDE,Baudette International Airport,Baudette
BDG,Blanding Municipal Airport,Blanding
ILL,Willmar Municipal/John L Rice Field,Willmar
BDL,Bradley International Airport,Windsor Locks
BDR,Bridgeport/Sikorsky Airport,Bridgeport
WBU,Boulder Municipal Airport,Boulder
BEC,Beech Factory Airport,Wichita
BED,Laurence G Hanscom Field,Bedford
BEH,Southwest Michigan Regional Airport,Benton Harbor
BFD,Bradford Regional Airport,Bradford
BFF,Western Nebraska Regional/William B Heilig Field,Scottsbluff
BFI,Boeing Field/King County International Airport,Seattle
BFL,Meadows Field,Bakersfield
BFM,Mobile International Airport,Mobile
BFR,Virgil I Grissom Municipal Airport,Bedford
BGD,Hutchinson County Airport,Borger
BGE,Decatur County Industrial Air Park,Bainbridge
BGM,Greater Binghamton/Edwin A Link Field,Binghamton
BGR,Bangor International Airport,Bangor
BHB,Hancock County/Bar Harbor Airport,Bar Harbor
BHM,Birmingham-Shuttlesworth International Airport,Birmingham
BID,Block Island State Airport,Block Island
BIE,Beatrice Municipal Airport,Beatrice
BIF,Biggs Army Air Field (Fort Bliss) Airport,Fort Bliss/El Paso/
BIH,Bishop Airport,Bishop
BIL,Billings Logan International Airport,Billings
BIS,Bismarck Municipal Airport,Bismarck
BIX,Keesler Afb Airport,Biloxi
BJC,Rocky Mountain Metro Airport,Denver
BJI,Bemidji Regional Airport,Bemidji
BJJ,Wayne County Airport,Wooster
BKD,Stephens County Airport,Breckenridge
BKE,Baker City Municipal Airport,Baker City
BFK,Buckley Space Force Base Airport,Aurora
BKL,Burke Lakefront Airport,Cleveland
BWL,Blackwell-Tonkawa Municipal Airport,Blackwell
BKT,Allen C Perkinson Blackstone Army Air Field,Blackstone
BKW,Raleigh County Memorial Airport,Beckley
BKX,Brookings Regional Airport,Brookings
BLF,Mercer County Airport,Bluefield
BLH,Blythe Airport,Blythe
BLI,Bellingham International Airport,Bellingham
BLM,Monmouth Executive Airport,Belmar/Farmingdale
BLU,Blue Canyon - Nyack Airport,Emigrant Gap
BLV,Scott Afb/Midamerica St Louis Airport,Belleville
BMC,Brigham City Regional Airport,Brigham City
BMG,Monroe County Airport,Bloomington
BMI,Central Il Regional/Bloomington-Normal Airport,Bloomington/Normal
BML,Berlin Regional Airport,Berlin
BMT,Beaumont Municipal Airport,Beaumont
BNA,Nashville International Airport,Nashville
BNG,Banning Municipal Airport,Banning
BNL,Barnwell Regional Airport,Barnwell
BNO,Burns Municipal Airport,Burns
BNW,Boone Municipal Airport,Boone
BOI,Boise Air Trml/Gowen Field,Boise
BOK,Brookings Airport,Brookings
BOS,General Edward Lawrence Logan International Airport,Boston
BOW,Bartow Executive Airport,Bartow
HCA,Big Spring Mc Mahon-Wrinkle Airport,Big Spring
BPI,Miley Memorial Field,Big Piney
WMH,Baxter County Airport,Mountain Home
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur
BQK,Brunswick Golden Isles Airport,Brunswick
BRD,Brainerd Lakes Regional Airport,Brainerd
BRL,Southeast Iowa Regional Airport,Burlington
BRO,Brownsville/South Padre Island International Airport,Brownsville
BRY,Samuels Field,Bardstown
BTF,Skypark Airport,Bountiful
BTL,Battle Creek Executive At Kellogg Field,Battle Creek
BTM,Bert Mooney Airport,Butte
TTO,Britton Municipal Airport,Britton
BTP,Pittsburgh/Butler Regional Airport,Butler
BTR,"Baton Rouge Metro, Ryan Field",Baton Rouge
BTV,Patrick Leahy Burlington International Airport,Burlington
BTY,Beatty Airport,Beatty
